"length (seconds)","peaks","peaks per sec","nodturn","nodturn per sec","peak max prom","peak mean prom","extremes amplitude","velocity","timestamp","camera","transcript","nod"
"2.14","3","1.4018691588785046","7","3.2710280373831777","0.0264785522003379","0.01682740647538698","0.08393809516038253","0.2500247662164484","0:14:40.800","b","koe_03_free_conversation","feedback"
"4.42","4","0.9049773755656109","9","2.0361990950226243","0.20427164627868","0.08907400399334836","0.29502242771937337","0.4354052849812288","0:14:46.800","b","koe_03_free_conversation","feedback"
"7.6","12","1.5789473684210527","24","3.1578947368421053","0.3045517517952383","0.058422297961685944","0.298440347798548","0.4298463735780373","0:14:51.900","b","koe_03_free_conversation","feedback"
"2.98","2","0.6711409395973155","5","1.6778523489932886","0.015240244205686926","0.015189468165800024","0.0451908241160226","0.119814329356295","0:14:59.800","b","koe_03_free_conversation","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
"","","","","","","","","","","","","feedback"
